ElectionNumber	ElectionDate	Precinct	Party	BallotStyle
20	2019-12-25 00:00:00.000	135.03	DEM	3AD
120	2019-12-25 00:00:00.000	135.03	LIB	3AL
120	2019-12-25 00:00:00.000	135.03	REP	3AR
120	2019-12-25 00:00:00.000	136.01	NPA	3A
120	2019-12-25 00:00:00.000	136	NPA	3A
120	2019-12-25 00:00:00.000	102.02	DEM	3AD
120	2019-12-25 00:00:00.000	102.03	DEM	3AD
120	2019-12-25 00:00:00.000	 10.01	DEM	1AD
120	2019-12-25 00:00:00.000	 10.02	DEM	1AD
120	2019-12-25 00:00:00.000	 10.03	DEM	2AD
120	2019-12-25 00:00:00.000	 10	LIB	3AL
